Days,Holidays_Count,PM2.5,PM10,NO2,SO2,CO,Ozone,AQI
1,0,110,210,45,20,0.9,32,180
2,0,120,220,48,22,1.0,35,195
3,0,130,240,50,24,1.1,36,210
4,0,140,250,52,26,1.2,38,220
5,1,150,260,55,28,1.3,40,240
6,0,160,270,57,30,1.4,42,255
7,0,170,280,60,32,1.5,44,270
8,0,165,275,58,31,1.4,43,265
9,0,155,265,54,29,1.3,41,250
10,1,145,255,52,27,1.2,39,235
11,0,135,245,50,25,1.1,37,220
12,0,125,235,48,23,1.0,35,205
13,0,115,225,46,21,0.9,34,190
14,0,105,215,44,20,0.8,33,175
15,1,95,200,40,18,0.7,30,160
16,0,100,205,42,19,0.8,31,165
17,0,110,215,45,20,0.9,32,180
18,0,120,225,48,22,1.0,34,195
19,0,130,235,50,24,1.1,36,210
20,1,140,245,52,26,1.2,38,225
